epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1735,1.71711,1.5088,1.51153,0.66277,0.59439,0.62396,0.25815,2.11101,1.40882,1.71669,0.0704286,0.00328571,0.00328571
2,57.7436,2.08203,1.85502,1.72166,0.61783,0.49978,0.50948,0.16306,2.34139,1.6437,1.87241,0.0402975,0.00648799,0.00648799
3,85.4189,2.08942,1.90944,1.73625,0.58753,0.42989,0.47939,0.15726,2.20208,1.95179,1.81362,0.0100345,0.00955827,0.00955827
4,112.742,2.15906,2.06621,1.75342,0.44232,0.372,0.3456,0.11224,2.35019,2.13459,1.93708,0.009406,0.009406,0.009406
5,139.488,2.15644,2.01342,1.75941,0.53667,0.41208,0.43157,0.14621,2.37446,2.00319,1.92142,0.009208,0.009208,0.009208
6,166.594,2.12671,1.94853,1.72387,0.45083,0.34343,0.33774,0.12591,2.395,2.22532,1.93673,0.00901,0.00901,0.00901
7,193.431,2.14868,1.97209,1.73989,0.4977,0.46788,0.43138,0.1441,2.35623,1.95039,1.91899,0.008812,0.008812,0.008812
8,220.821,2.11656,1.92489,1.73293,0.45509,0.53367,0.49596,0.1938,2.18313,1.68782,1.7649,0.008614,0.008614,0.008614
9,248.23,2.08866,1.88933,1.71627,0.53199,0.46904,0.48111,0.17748,2.26939,1.75802,1.81007,0.008416,0.008416,0.008416
10,275.508,2.08191,1.89361,1.70238,0.5839,0.46209,0.48743,0.17805,2.19139,1.69165,1.78576,0.008218,0.008218,0.008218
11,304.652,2.05311,1.82107,1.68669,0.59408,0.47029,0.50678,0.17057,2.22346,1.68464,1.82499,0.00802,0.00802,0.00802
12,333.94,2.07173,1.85829,1.71445,0.58833,0.48401,0.47411,0.17768,2.20261,1.75481,1.79615,0.007822,0.007822,0.007822
13,360.983,2.0529,1.81808,1.70636,0.64831,0.50732,0.562,0.20454,2.13214,1.63916,1.7907,0.007624,0.007624,0.007624
14,387.575,2.00716,1.7594,1.67676,0.67342,0.53858,0.52721,0.20227,2.13283,1.65031,1.77361,0.007426,0.007426,0.007426
15,414.396,2.00032,1.72978,1.65085,0.60484,0.54696,0.5571,0.19173,2.24198,1.60017,1.82063,0.007228,0.007228,0.007228
16,441.359,1.99491,1.71617,1.67392,0.68221,0.54756,0.58087,0.21211,2.14615,1.53032,1.75826,0.00703,0.00703,0.00703
17,467.986,1.97673,1.71499,1.64659,0.68587,0.56319,0.60756,0.22266,2.14278,1.49311,1.76109,0.006832,0.006832,0.006832
18,495.359,1.96769,1.69341,1.65488,0.59767,0.57186,0.58513,0.22457,2.13386,1.49865,1.75147,0.006634,0.006634,0.006634
19,522.483,1.96182,1.65814,1.65523,0.7076,0.58195,0.62907,0.25869,2.06541,1.43702,1.70441,0.006436,0.006436,0.006436
20,549.367,1.95442,1.64391,1.6268,0.67015,0.60283,0.61208,0.22015,2.1087,1.42845,1.74536,0.006238,0.006238,0.006238
