epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,576.207,1.95965,1.61754,1.61923,0.73988,0.55059,0.61213,0.23825,2.09807,1.39114,1.69791,0.00604,0.00604,0.00604
22,603.199,1.8971,1.57317,1.59393,0.74662,0.58884,0.63811,0.26379,2.07113,1.32747,1.70608,0.005842,0.005842,0.005842
23,630.441,1.90752,1.55323,1.58717,0.80441,0.55839,0.66337,0.26322,2.08729,1.40598,1.67368,0.005644,0.005644,0.005644
24,657.55,1.94101,1.56988,1.621,0.78372,0.6285,0.68423,0.28489,2.01565,1.35764,1.65468,0.005446,0.005446,0.005446
25,684.508,1.89459,1.53636,1.58923,0.74978,0.59592,0.64589,0.24297,2.10778,1.34238,1.73819,0.005248,0.005248,0.005248
26,711.226,1.8749,1.48958,1.5728,0.79463,0.62215,0.66125,0.25427,2.10431,1.35294,1.74519,0.00505,0.00505,0.00505
27,738.581,1.86049,1.42732,1.54604,0.70797,0.58269,0.60403,0.22707,2.19872,1.34685,1.77564,0.004852,0.004852,0.004852
28,765.707,1.86514,1.5079,1.57414,0.75712,0.63988,0.66212,0.25112,2.12211,1.31186,1.74373,0.004654,0.004654,0.004654
29,792.673,1.84084,1.4135,1.53412,0.78837,0.60622,0.66249,0.26536,2.08053,1.28868,1.71949,0.004456,0.004456,0.004456
30,820.184,1.86893,1.46243,1.57037,0.8265,0.64337,0.68661,0.27305,2.08683,1.30041,1.71062,0.004258,0.004258,0.004258
31,849.051,1.83706,1.45705,1.55149,0.78941,0.66779,0.71023,0.27524,2.02986,1.27048,1.65758,0.00406,0.00406,0.00406
32,877.307,1.82016,1.36987,1.49947,0.75902,0.64447,0.6775,0.29166,2.02217,1.23404,1.66784,0.003862,0.003862,0.003862
33,904.327,1.79707,1.33555,1.48427,0.71748,0.63471,0.65408,0.27531,2.02273,1.2273,1.6733,0.003664,0.003664,0.003664
34,932.042,1.78132,1.36171,1.51273,0.81124,0.66275,0.70939,0.31196,2.01096,1.18319,1.64758,0.003466,0.003466,0.003466
35,959.38,1.80044,1.37677,1.50368,0.76907,0.6305,0.68861,0.28119,2.05758,1.19562,1.67141,0.003268,0.003268,0.003268
36,986.643,1.79973,1.362,1.51133,0.79722,0.66492,0.73874,0.32261,1.9662,1.14896,1.62845,0.00307,0.00307,0.00307
37,1013.75,1.74436,1.29798,1.4677,0.79498,0.67704,0.73359,0.31114,2.0326,1.15075,1.66663,0.002872,0.002872,0.002872
38,1040.96,1.75566,1.31807,1.48673,0.85262,0.64278,0.72848,0.30586,2.01738,1.1527,1.66689,0.002674,0.002674,0.002674
39,1067.79,1.73565,1.28885,1.46603,0.88882,0.63604,0.72929,0.32215,1.99609,1.13125,1.65186,0.002476,0.002476,0.002476
40,1095.02,1.74033,1.28842,1.47882,0.8648,0.67351,0.7503,0.32114,1.98766,1.13852,1.65448,0.002278,0.002278,0.002278
41,1132.74,1.59722,0.99209,1.42144,0.83285,0.65601,0.73854,0.32362,1.99654,1.16185,1.64092,0.00208,0.00208,0.00208
42,1159.71,1.58734,0.96955,1.40565,0.82421,0.66388,0.73622,0.32649,1.95753,1.14891,1.62612,0.001882,0.001882,0.001882
43,1186.33,1.56763,0.96503,1.41952,0.83399,0.65857,0.73698,0.3196,1.97904,1.11084,1.6611,0.001684,0.001684,0.001684
44,1213.54,1.54097,0.92772,1.40165,0.81136,0.67403,0.74834,0.32485,1.95999,1.11542,1.64034,0.001486,0.001486,0.001486
45,1240.69,1.56103,0.91942,1.40802,0.8039,0.69716,0.73354,0.31909,2.01478,1.10367,1.65249,0.001288,0.001288,0.001288
46,1267.74,1.51716,0.87833,1.36181,0.80041,0.70066,0.75292,0.33288,1.96684,1.07182,1.61166,0.00109,0.00109,0.00109
47,1294.83,1.50962,0.87456,1.37748,0.80726,0.70242,0.75538,0.33586,1.95517,1.05851,1.62293,0.000892,0.000892,0.000892
48,1322.06,1.48316,0.86846,1.36234,0.81401,0.69984,0.76349,0.33677,1.93351,1.04518,1.62218,0.000694,0.000694,0.000694
49,1349.12,1.49568,0.85363,1.36626,0.83351,0.68936,0.76873,0.34392,1.93044,1.04143,1.6065,0.000496,0.000496,0.000496
50,1375.96,1.4625,0.83301,1.34053,0.84034,0.70497,0.77306,0.34633,1.93573,1.04008,1.6069,0.000298,0.000298,0.000298
