epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3681,2.06849,1.91062,1.72568,0.58344,0.58332,0.62732,0.26421,2.02909,1.45037,1.66571,0.0704286,0.00328571,0.00328571
2,56.7326,2.08313,1.89563,1.71853,0.56957,0.44272,0.45335,0.13675,2.44856,1.72338,1.95193,0.0402975,0.00648799,0.00648799
3,84.7555,2.08637,1.93913,1.73945,0.52047,0.49341,0.51456,0.18389,2.21537,1.72287,1.82612,0.0100345,0.00955827,0.00955827
4,111.559,2.14973,2.05955,1.75523,0.62727,0.40152,0.45508,0.15932,2.25555,1.95459,1.84725,0.009406,0.009406,0.009406
5,138.461,2.15165,2.01716,1.75313,0.44491,0.36847,0.35513,0.12304,2.33813,2.0454,1.92352,0.009208,0.009208,0.009208
6,165.033,2.15399,1.99717,1.74766,0.48576,0.38966,0.38885,0.12829,2.36981,1.976,1.93032,0.00901,0.00901,0.00901
7,191.763,2.14139,1.96931,1.73283,0.50696,0.43193,0.41309,0.13972,2.34616,1.93591,1.90055,0.008812,0.008812,0.008812
8,219.103,2.1202,1.95223,1.73503,0.5979,0.43378,0.46781,0.16124,2.23088,1.88443,1.78008,0.008614,0.008614,0.008614
9,247.031,2.09086,1.89138,1.71488,0.5577,0.54442,0.52089,0.18296,2.18892,1.74928,1.78181,0.008416,0.008416,0.008416
10,274.156,2.06688,1.87452,1.69097,0.44928,0.44532,0.44269,0.1606,2.31264,1.84672,1.91483,0.008218,0.008218,0.008218
11,301.279,2.05277,1.83319,1.68176,0.61454,0.46912,0.48498,0.18428,2.2035,1.75863,1.80592,0.00802,0.00802,0.00802
12,328.294,2.05758,1.85071,1.69943,0.64168,0.5238,0.5321,0.19703,2.19932,1.64801,1.78454,0.007822,0.007822,0.007822
13,355.561,2.06606,1.85101,1.69404,0.6256,0.55148,0.5546,0.20596,2.14421,1.65127,1.75631,0.007624,0.007624,0.007624
14,382.756,2.01765,1.77383,1.67318,0.61608,0.54458,0.55835,0.20338,2.1809,1.54417,1.78928,0.007426,0.007426,0.007426
15,409.455,2.00724,1.72962,1.65273,0.64665,0.56271,0.57235,0.22201,2.13949,1.63759,1.73378,0.007228,0.007228,0.007228
16,436.473,2.01181,1.73616,1.66616,0.64381,0.56503,0.57883,0.22192,2.14658,1.52125,1.7632,0.00703,0.00703,0.00703
17,464.303,1.97032,1.72742,1.63066,0.65552,0.54553,0.58654,0.2229,2.16158,1.50981,1.75307,0.006832,0.006832,0.006832
18,491.688,1.9534,1.68526,1.64094,0.69449,0.57041,0.61682,0.23535,2.10528,1.49152,1.75142,0.006634,0.006634,0.006634
19,518.91,1.96987,1.63734,1.64974,0.62174,0.5615,0.60023,0.23808,2.09759,1.45089,1.73866,0.006436,0.006436,0.006436
20,546.207,1.94698,1.63045,1.63261,0.67252,0.55733,0.59531,0.21186,2.26501,1.46657,1.85951,0.006238,0.006238,0.006238
21,574.968,1.95286,1.58958,1.62184,0.73506,0.59376,0.64086,0.2484,2.13097,1.4306,1.74615,0.00604,0.00604,0.00604
