epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3005,1.86059,1.65531,1.58779,0.6636,0.59271,0.63107,0.25798,2.08139,1.41999,1.69992,0.0704286,0.00328571,0.00328571
2,57.2007,2.08312,1.879,1.7162,0.54616,0.471,0.4736,0.15111,2.39556,1.69492,1.92905,0.0402975,0.00648799,0.00648799
3,83.9976,2.08186,1.90731,1.73351,0.38291,0.41707,0.4045,0.14586,2.31669,1.92806,1.92742,0.0100345,0.00955827,0.00955827
4,110.955,2.14751,2.04213,1.75344,0.44157,0.40569,0.39412,0.13209,2.30366,1.96802,1.9039,0.009406,0.009406,0.009406
5,138.194,2.16619,2.00428,1.74874,0.35934,0.26858,0.25997,0.08635,2.45433,2.49895,2.05373,0.009208,0.009208,0.009208
6,165.436,2.16257,2.00448,1.74949,0.47802,0.35988,0.35388,0.12467,2.34476,2.18526,1.97468,0.00901,0.00901,0.00901
7,192.313,2.12854,1.98985,1.72735,0.55031,0.42239,0.44011,0.15849,2.2825,1.85662,1.84921,0.008812,0.008812,0.008812
8,219.231,2.11103,1.96545,1.72173,0.51365,0.51835,0.50513,0.19288,2.11347,1.75138,1.7298,0.008614,0.008614,0.008614
9,246.445,2.0864,1.92689,1.71891,0.68622,0.42751,0.47846,0.18148,2.25233,2.04701,1.81007,0.008416,0.008416,0.008416
10,273.03,2.08369,1.8764,1.69123,0.57529,0.44628,0.48159,0.17181,2.27097,1.67628,1.8398,0.008218,0.008218,0.008218
11,300.224,2.0613,1.83068,1.68419,0.5854,0.45954,0.469,0.16227,2.29908,1.95261,1.86996,0.00802,0.00802,0.00802
12,327.366,2.08731,1.85015,1.7064,0.66595,0.52008,0.58673,0.22161,2.2025,1.56912,1.77874,0.007822,0.007822,0.007822
13,354.643,2.04908,1.81759,1.67055,0.60443,0.5197,0.54422,0.19627,2.10582,1.63806,1.74333,0.007624,0.007624,0.007624
14,381.996,2.02838,1.78211,1.67736,0.61303,0.54009,0.56118,0.21063,2.14965,1.58129,1.74612,0.007426,0.007426,0.007426
15,409.118,1.99594,1.71322,1.64442,0.66218,0.51553,0.55568,0.18787,2.23736,1.62773,1.80869,0.007228,0.007228,0.007228
16,435.953,2.01158,1.71829,1.66029,0.57913,0.56335,0.55405,0.19268,2.23072,1.53507,1.79366,0.00703,0.00703,0.00703
17,462.896,1.97175,1.70736,1.62969,0.6534,0.51027,0.55918,0.22099,2.19112,1.49787,1.76869,0.006832,0.006832,0.006832
18,490.196,1.96784,1.67512,1.6477,0.664,0.54859,0.58633,0.21194,2.18355,1.50249,1.75775,0.006634,0.006634,0.006634
19,517.618,1.97585,1.65716,1.64551,0.56679,0.51826,0.52546,0.21296,2.08276,1.55627,1.71218,0.006436,0.006436,0.006436
20,544.74,1.95839,1.63898,1.62194,0.76608,0.53093,0.60547,0.22559,2.18263,1.41126,1.79635,0.006238,0.006238,0.006238
21,571.502,1.94959,1.60701,1.60484,0.75829,0.58151,0.659,0.24237,2.08597,1.397,1.71863,0.00604,0.00604,0.00604
