epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1657,1.91721,1.5415,1.67172,0.44266,0.47942,0.4962,0.20038,2.1642,1.75196,1.82737,0.0704286,0.00328571,0.00328571
2,64.9716,1.95062,1.5678,1.69119,0.5353,0.43776,0.47496,0.18748,2.21142,1.72686,1.8396,0.0397733,0.00596376,0.00596376
3,92.0144,1.99329,1.68691,1.7235,0.46398,0.37337,0.35238,0.10949,2.38503,2.10346,1.92738,0.008458,0.00798181,0.00798181
4,118.884,2.04156,1.69815,1.71482,0.397,0.38406,0.35539,0.12283,2.32078,2.03227,1.91414,0.00703,0.00703,0.00703
5,145.726,2.0293,1.68358,1.73371,0.5951,0.3943,0.42589,0.16194,2.22874,1.86634,1.78932,0.00604,0.00604,0.00604
6,173.128,1.97304,1.62745,1.70276,0.56036,0.41918,0.43863,0.14771,2.38194,1.90722,1.94577,0.00505,0.00505,0.00505
7,199.951,1.94262,1.53785,1.67527,0.46975,0.43425,0.39856,0.12852,2.3917,1.81412,1.96537,0.00406,0.00406,0.00406
8,226.931,1.90693,1.46727,1.65828,0.58597,0.52877,0.52368,0.18992,2.18523,1.55958,1.78387,0.00307,0.00307,0.00307
9,253.92,1.82881,1.37245,1.59349,0.57062,0.5131,0.53715,0.19208,2.23248,1.52068,1.80988,0.00208,0.00208,0.00208
10,281.038,1.82568,1.33486,1.5846,0.67341,0.5736,0.58059,0.21496,2.19196,1.44225,1.78379,0.00109,0.00109,0.00109
